Symptom1,Symptom2,Count
Ear Back Hair Removal,Skin Wound,45
Ear Back Hair Removal,Scab Formation,36
Ear Back Hair Removal,Headbanging,190
Ear Back Hair Removal,Scrotal erythema,1
Ear Back Hair Removal,Hyperemia of visible mucosa,6
Ear Back Hair Removal,Purulent ocular discharge,14
Ear Back Hair Removal,Eye pain,4
Ear Back Hair Removal,Hyperplastic ear canal stenosis,70
Ear Back Hair Removal,Increased ocular discharge,16
Ear Back Hair Removal,Nystagmus,4
Ear Back Hair Removal,Ocular Abnormalities,4
Ear Back Hair Removal,Photophobia,4
Ear Back Hair Removal,Pupillary dilation,4
Ear Back Hair Removal,Pupillary white discharge,5
Ear Back Hair Removal,Scratching one's ears,140
Ear Back Hair Removal,Ulcerative Keratitis,5
Ear Back Hair Removal,Ear Swelling,48
Ear Back Hair Removal,Earwax,244
Ear Back Hair Removal,Edema,11
Ear Back Hair Removal,Oily ear discharge,233
Ear Back Hair Removal,Palpation reveals a fluctuant sensation.,16
Ear Back Hair Removal,Skin Swelling,11
Ear Back Hair Removal,The entire external auditory canal is obstructed by a mass.,25
Ear Back Hair Removal,Unpleasant Odor in the Ear,150
Ear Back Hair Removal,Ulcer,2
Ear Back Hair Removal,Hyperplastic External Auditory Canal Stenosis,149
Ear Back Hair Removal,Itchy skin,12
Ear Back Hair Removal,Rash,23
Ear Back Hair Removal,Hair Removal,94
Ear Back Hair Removal,Mental depression,17
Ear Back Hair Removal,Scratching the ear,4
Ear Back Hair Removal,Ear Odor,79
Ear Back Hair Removal,Itching,85
Ear Back Hair Removal,Melena,5
Ear Back Hair Removal,Increased vaginal discharge,6
Ear Back Hair Removal,Thickening of the skin,8
Ear Back Hair Removal,Tilted head,4
Ear Back Hair Removal,"Fleas, Ticks, or Mites",16
Ear Back Hair Removal,Hypertrophic Stenosis of the External Auditory Canal,43
Ear Back Hair Removal,"Lice, fleas, ticks, or mites found on the body",34
Ear Back Hair Removal,Redness and swelling,11
Ear Back Hair Removal,Sparse hair,13
Ear Back Hair Removal,There are insect eggs.,13
Ear Back Hair Removal,Gingival Swelling,5
Ear Back Hair Removal,Skin redness and swelling,74
Ear Back Hair Removal,Footpad Injury,1
Ear Back Hair Removal,Footpad Swelling,1
Ear Back Hair Removal,Footpad ulceration,1
Ear Back Hair Removal,Head Shaking,19
Ear Back Hair Removal,Papule,34
Ear Back Hair Removal,Pustule,28
Ear Back Hair Removal,Skin Bruising,23
Ear Back Hair Removal,Erythema,16
Ear Back Hair Removal,Epidermal Hemorrhage,18
Ear Back Hair Removal,Skin Odor,23
Ear Back Hair Removal,Skin injury,3
Ear Back Hair Removal,Facial Edema,1
Ear Back Hair Removal,Head tilt towards the affected side,6
Ear Back Hair Removal,Skin Inflammation,18
Ear Back Hair Removal,Erosion,11
Ear Back Hair Removal,Hyporexia,10
Ear Back Hair Removal,Soft Stool,6
Ear Back Hair Removal,Oral Malodor,6
Ear Back Hair Removal,Swelling and redness,6
Ear Back Hair Removal,Light-colored bloody stool,5
Ear Back Hair Removal,Pale visible mucosa,3
Ear Back Hair Removal,Polyuria,3
Ear Back Hair Removal,Scratching the eyes,6
Ear Back Hair Removal,Visible mucosal cyanosis,4
Ear Back Hair Removal,Purulent ocular discharge (purulent eye),6
Ear Back Hair Removal,Elevated Body Temperature (Fever),3
Ear Back Hair Removal,Gingival swelling,8
Ear Back Hair Removal,Swelling at the base of the penis,3
Ear Back Hair Removal,There are black spots the size of sesame seeds on the skin.,19
Ear Back Hair Removal,"Elevated, round to oval skin lesions",11
Ear Back Hair Removal,Exposing a red wound surface,1
Ear Back Hair Removal,Frequent licking,11
Ear Back Hair Removal,Hair Loss,12
Ear Back Hair Removal,Hematoma,10
Ear Back Hair Removal,"Manifestation of inflammatory changes such as redness, swelling, heat, and pain.",7
Ear Back Hair Removal,Miliary Dermatitis,13
Ear Back Hair Removal,Nodule,10
Ear Back Hair Removal,Non-Pruritic Alopecia,12
Ear Back Hair Removal,Palpation elicits crepitus.,9
Ear Back Hair Removal,Plaque,11
Ear Back Hair Removal,Redness of the chin skin,9
Ear Back Hair Removal,Skin damage,10
Ear Back Hair Removal,The color of the fur on the dorsal side of the tail has darkened to a deep brown.,6
Ear Back Hair Removal,The tail hair has become very greasy.,5
Ear Back Hair Removal,There are black spots under the chin.,9
Ear Back Hair Removal,Thickening and roughening of the skin,12
Ear Back Hair Removal,Ulcerative Infection,15
Ear Back Hair Removal,Reduced food intake,6
Ear Back Hair Removal,Shortness of breath,4
Ear Back Hair Removal,Hemorrhage,2
Ear Back Hair Removal,Ectropion,6
Ear Back Hair Removal,Entropion,7
Ear Back Hair Removal,Epiphora,2
Ear Back Hair Removal,Exophthalmos,2
Ear Back Hair Removal,Responsive to rapidly approaching objects,1
Ear Back Hair Removal,Vomiting,11
Ear Back Hair Removal,Exercise Intolerance,1
Ear Back Hair Removal,Shaking Head and Scratching Ears,11
Ear Back Hair Removal,Skin redness,36
Ear Back Hair Removal,Tick Head Remnants,2
Ear Back Hair Removal,Visible Ticks,1
Ear Back Hair Removal,Paralysis of the hind limbs,4
Ear Back Hair Removal,Skin Itching,8
Ear Back Hair Removal,"Lice, fleas, ticks, or mites are found on the body.",1
Ear Back Hair Removal,Increased Preputial Secretions,2
Ear Back Hair Removal,Nasal discharge,2
Ear Back Hair Removal,Squamous Patch,17
Ear Back Hair Removal,Skin itching,4
Ear Back Hair Removal,Exposure of the red wound surface,7
Ear Back Hair Removal,Lice found on the body,8
Ear Back Hair Removal,Pigmentation,8
Ear Back Hair Removal,Sparse hair at the joints,4
Ear Back Hair Removal,There is a sense of fluctuation.,2
Ear Back Hair Removal,The head is held high and refuses to bow down.,2
Ear Back Hair Removal,Nasal and facial swelling,2
Ear Back Hair Removal,Emaciation,2
Ear Back Hair Removal,Infected Ulceration,3
Ear Back Hair Removal,Squamous Spots,2
Ear Back Hair Removal,Purulent Nasal Discharge (Nasal Discharge),3
Ear Back Hair Removal,Exposed red wound surface,1
Ear Back Hair Removal,"Presenting with inflammatory changes such as redness, swelling, heat, and pain.",1
Ear Back Hair Removal,Skin laxity and loss of elasticity,1
Ear Back Hair Removal,The color of the hair on the dorsal side of the tail has darkened to a deep brown.,1
Ear Back Hair Removal,The tail fur has become very greasy.,4
Ear Back Hair Removal,Hair is dry and coarse.,2
Ear Back Hair Removal,"Manifestation of inflammatory changes such as redness, swelling, heat, and pain",1
Ear Back Hair Removal,The color of the fur on the dorsal side of the tail has darkened to a deep coffee brown.,2
Ear Back Hair Removal,Skin Injury,10
Ear Back Hair Removal,Scratching one's ear,8
Ear Back Hair Removal,Insect Eggs,1
Ear Back Hair Removal,Hematuria,4
Ear Back Hair Removal,Epidermal Elevation,1
Ear Back Hair Removal,Hair Follicle Casts,4
Ear Back Hair Removal,Mild skin fissures,4
Ear Back Hair Removal,Patchy areas,1
Ear Back Hair Removal,Redness and Swelling,1
Ear Back Hair Removal,Scales,7
Ear Back Hair Removal,Small mass,1
Ear Back Hair Removal,Ulceration,1
Ear Back Hair Removal,Nasal Bleeding,2
Ear Back Hair Removal,Runny nose,8
Ear Back Hair Removal,Hyperpigmentation of the skin,2
Ear Back Hair Removal,Loose gums,4
Ear Back Hair Removal,Salivation,5
Ear Back Hair Removal,Increased abdominal circumference,2
Ear Back Hair Removal,Skin laxity and lack of elasticity,2
Ear Back Hair Removal,Erosion of the oral mucosa,3
Ear Back Hair Removal,Facial Swelling,2
Ear Back Hair Removal,Gingival Bleeding,2
Ear Back Hair Removal,Gingivitis,3
Ear Back Hair Removal,Hemorrhage or protrusion of a new growth from the oral cavity,3
Ear Back Hair Removal,Mucosal Ulcer,3
Ear Back Hair Removal,Oral Bleeding,4
Ear Back Hair Removal,Oral Bloody Secretions,3
Ear Back Hair Removal,Oral Pain,3
Ear Back Hair Removal,Oral Ulcer,3
Ear Back Hair Removal,Oral Ulcer on the Dorsum of the Tongue,2
Ear Back Hair Removal,Painful swallowing,3
Ear Back Hair Removal,Reflux,1
Ear Back Hair Removal,Sialorrhea,1
Ear Back Hair Removal,Stomatitis,4
Ear Back Hair Removal,Rubbing the buttocks,2
Ear Back Hair Removal,Frequent urination,2
Ear Back Hair Removal,Weight loss,2
Ear Back Hair Removal,Skin turns purple/blue,1
Ear Back Hair Removal,Elevated body temperature,1
Ear Back Hair Removal,Lymphadenopathy,5
Ear Back Hair Removal,"The head is held high, unwilling to bow down.",1
Ear Back Hair Removal,Scratch the eyes,6
Ear Back Hair Removal,No defecation,3
Ear Back Hair Removal,On tiptoes,4
Ear Back Hair Removal,Wiping the buttocks,1
Ear Back Hair Removal,Skin thickening,1
Ear Back Hair Removal,Hyperplastic Ear Canal Stenosis,1
Ear Back Hair Removal,Eosinophilic Granuloma,1
Ear Back Hair Removal,Eosinophilic plaque,1
Ear Back Hair Removal,Erythematous papules,1
Ear Back Hair Removal,Exudate,3
Ear Back Hair Removal,Hair Removal and Diffuse Erythema,2
Ear Back Hair Removal,Linear Granuloma,1
Ear Back Hair Removal,Mucosal Ulceration,2
Ear Back Hair Removal,Painless Ulcer,1
Ear Back Hair Removal,Skin Ulcer Scar,2
Ear Back Hair Removal,Fecal incontinence,1
Ear Back Hair Removal,Weakness in the limbs or forelimbs and hindlimbs,2
Ear Back Hair Removal,Polydipsia and Polyuria,1
Ear Back Hair Removal,Visible mucosal icterus,1
Ear Back Hair Removal,Hypersalivation,1
Ear Back Hair Removal,Increased food intake,1
Ear Back Hair Removal,Pica,1
Ear Back Hair Removal,Icterus of visible mucous membranes,1
Ear Back Hair Removal,Muscle Atrophy,1
Ear Back Hair Removal,Syncope,2
Ear Back Hair Removal,Unpleasant Skin Odor,3
Ear Back Hair Removal,Jaundice,1
Ear Back Hair Removal,Rhinitis sicca,1
Ear Back Hair Removal,Oliguria or Anuria,1
Ear Back Hair Removal,Loss of appetite,2
Ear Back Hair Removal,Hyperemia of the visible mucosa,1
Ear Back Hair Removal,Tilted Head,1
Ear Back Hair Removal,Exposure of red wound surface,1
Ear Back Hair Removal,Exhibits a sense of fluctuation.,1
Ear Back Hair Removal,Gingival bleeding,1
Ear Back Hair Removal,Mucopurulent ocular discharge,2
Ear Back Hair Removal,Nasal discharge resembling frothy fluid,2
Ear Back Hair Removal,Oral Ulcer on the Tongue Surface,1
Ear Back Hair Removal,Pupillary constriction,1
Ear Back Hair Removal,Purulent nasal discharge,2
Ear Back Hair Removal,Serous Nasal Discharge,2
Ear Back Hair Removal,Sinusitis,2
Ear Back Hair Removal,Epistaxis,1
Ear Back Hair Removal,Facial Hemorrhagic Secretions,1
Ear Back Hair Removal,Facial swelling,1
Ear Back Hair Removal,Facial ulceration,1
Ear Back Hair Removal,Frequent bowel movements,1
Ear Back Hair Removal,Generalized or localized skeletal muscle weakness,1
Ear Back Hair Removal,Howling,1
Ear Back Hair Removal,Hyperventilation,1
Ear Back Hair Removal,Incapacitated,1
Ear Back Hair Removal,Increased physical activity leading to hyperexcitability,1
Ear Back Hair Removal,Increased water intake,1
Ear Back Hair Removal,Inspiratory dyspnea,1
Ear Back Hair Removal,Lymph Node Swelling with Suppurative Ulceration,1
Ear Back Hair Removal,Massive hemorrhagic diarrhea occurred.,1
Ear Back Hair Removal,Miscarriage,1
Ear Back Hair Removal,Motor Dyscoordination,1
Ear Back Hair Removal,Mucinous stool,1
Ear Back Hair Removal,Mucosal Hemorrhage,2
Ear Back Hair Removal,Oliguria,1
Ear Back Hair Removal,Pain,1
Ear Back Hair Removal,Petechia,1
Ear Back Hair Removal,Petechiae,1
Ear Back Hair Removal,Purulent discharge from the vagina,1
Ear Back Hair Removal,Quadriplegia,2
Ear Back Hair Removal,Rectal Prolapse,1
Ear Back Hair Removal,Reduced physical activity,1
Ear Back Hair Removal,Reduced water intake,1
Ear Back Hair Removal,Respiratory Deficiency,1
Ear Back Hair Removal,Restlessness and Straining,1
Ear Back Hair Removal,Salivation and fecal and urinary incontinence,1
Ear Back Hair Removal,Shallow and rapid breathing,1
Ear Back Hair Removal,Stenosis of the nasal aperture,1
Ear Back Hair Removal,Superficial Lymph Node Enlargement,1
Ear Back Hair Removal,Swelling under the eyes,1
Ear Back Hair Removal,The feces are coated with mucus.,1
Ear Back Hair Removal,The feces are hard and dry.,1
Ear Back Hair Removal,Tic,1
Ear Back Hair Removal,Tilt the head to one side,1
Ear Back Hair Removal,Tremor of the head,1
Ear Back Hair Removal,Urinary Incontinence,1
Ear Back Hair Removal,Urine appears yellow to dark brown.,1
Ear Back Hair Removal,Vaginal discharge,1
Ear Back Hair Removal,Vomit can emit phosphorescence in the dark.,1
Ear Back Hair Removal,Watery stool,1
Ear Back Hair Removal,Intra-aural brownish discharge,1
Ear Back Hair Removal,Limping,1
Ear Back Hair Removal,Intra-aural brown discharge,1
Ear Back Hair Removal,Nasal stenosis,1
Ear congestion,Head-shaking,301
Ear congestion,Oily Ear Discharge,261
Ear congestion,Purulent ear discharge,1054
Ear congestion,Purulent intracanalicular discharge,671
Ear congestion,Scratching the ears,495
Ear congestion,Sneezing,157
Ear congestion,Elevated Body Temperature (Fever),44
Ear congestion,Runny nose,65
Ear congestion,Shaking Head and Scratching Ears,207
Ear congestion,Earwax,401
Ear congestion,Headbanging,429
Ear congestion,Hyperplastic ear canal stenosis,120
Ear congestion,Oily ear discharge,402
Ear congestion,Postauricular Hair Removal,65
Ear congestion,Scratching one's ears,353
Ear congestion,Unpleasant Odor in the Ear,338
Ear congestion,Gingival swelling,90
Ear congestion,Skin redness and swelling,369
Ear congestion,Itching,749
Ear congestion,Stomatitis,7
Ear congestion,Thickening of the skin,24
Ear congestion,Increased vaginal discharge,201
Ear congestion,"Lice, fleas, ticks, or mites found on the body",147
Ear congestion,Intra-aural brownish discharge,2
Ear congestion,Hyperplastic External Auditory Canal Stenosis,227
Ear congestion,Hypothermia,2
Ear congestion,Mental depression,474
Ear congestion,Polyuria,12
Ear congestion,Salivation,44
Ear congestion,Skin laxity and loss of elasticity,12
Ear congestion,Pustule,116
Ear congestion,Edema,82
Ear congestion,Hyporexia,128
Ear congestion,Hair Removal,245
Ear congestion,Increased abdominal circumference,30
Ear congestion,Mucosal Hemorrhage,43
Ear congestion,Purulent ocular discharge,158
Ear congestion,Soft Stool,45
Ear congestion,Skin Odor,74
Ear congestion,"Most of the time, maintain a sitting or lying down position.",5
Ear congestion,Reduced Urination,28
Ear congestion,Vomiting,130
Ear congestion,Frequent licking,54
Ear congestion,Eye pain,9
Ear congestion,Increased ocular discharge,69
Ear congestion,Nystagmus,186
Ear congestion,Ocular Abnormalities,13
Ear congestion,Photophobia,4
Ear congestion,Pupillary dilation,13
Ear congestion,Pupillary white discharge,8
Ear congestion,Ulcerative Keratitis,7
Ear congestion,Scratch the eyes,134
Ear congestion,Folliculitis,4
Ear congestion,Hair Removal on the Back of the Ear,42
Ear congestion,Emaciation,25
Ear congestion,Nasal discharge,50
Ear congestion,Oral Malodor,59
Ear congestion,Scab Formation,196
Ear congestion,Pale visible mucosa,36
Ear congestion,Head tilts to one side,5
Ear congestion,Papule,105
Ear congestion,Skin Wound,179
Ear congestion,Gingival Swelling,90
Ear congestion,Palpation reveals a fluctuant sensation.,43
Ear congestion,Skin Swelling,21
Ear congestion,The entire external auditory canal is obstructed by a mass.,29
Ear congestion,Skin redness,105
Ear congestion,Loss of appetite,29
Ear congestion,Hyperemia of visible mucosa,63
Ear congestion,Hemorrhage,47
Ear congestion,Ectropion,149
Ear congestion,Footpad Swelling,6
Ear congestion,Rubbing the buttocks,18
Ear congestion,Fecal incontinence,20
Ear congestion,Nasal stenosis,66
Ear congestion,Head Shaking,58
Ear congestion,Swelling at the base of the penis,21
Ear congestion,"Fleas, Ticks, or Mites",23
Ear congestion,Tilted head,52
Ear congestion,Footpad ulceration,4
Ear congestion,Muscle Atrophy,20
Ear congestion,Ulceration,42
Ear congestion,Scratching the eyes,92
Ear congestion,Wiping the buttocks,17
Ear congestion,Nasal Bleeding,8
Ear congestion,Oral Ulcer,12
Ear congestion,Protrusion of the eyeball from the orbit,1
Ear congestion,Purulent Nasal Discharge (Nasal Discharge),9
Ear congestion,Insect eggs,5
Ear congestion,Melena,31
Ear congestion,Reduced food intake,98
Ear congestion,Foul-smelling feces,167
Ear congestion,Reduced physical activity,161
Ear congestion,Visible mucosal cyanosis,168
Ear congestion,There are insect eggs.,21
Ear congestion,Tilted Head,10
Ear congestion,Redness and swelling,33
Ear congestion,Head tilt towards the affected side,14
Ear congestion,Reduced water intake,20
Ear congestion,Scratching the ear,10
Ear congestion,Lymphadenopathy,157
Ear congestion,Stenosis of the nostrils,2
Ear congestion,Pain,45
Ear congestion,Weakness in the limbs or forelimbs and hindlimbs,32
Ear congestion,Pigmentation,39
Ear congestion,Limping,16
Ear congestion,Increased food intake,45
Ear congestion,Oral Bleeding,57
Ear congestion,Skin Bruising,45
Ear congestion,Spinning in circles,5
Ear congestion,Epidermal Hemorrhage,35
Ear congestion,Joint Swelling,1
Ear congestion,Rash,60
Ear congestion,Hemoptysis,10
Ear congestion,"The head is held high, unwilling to bow down.",13
Ear congestion,Hematoma,24
Ear congestion,Increased physical activity leading to hyperexcitability,3
Ear congestion,"Elevated, round to oval skin lesions",23
Ear congestion,Thickening and Coarsening of the Skin,6
Ear congestion,Rectal Prolapse,2
Ear congestion,On tiptoe,8
Ear congestion,Skin Itching,40
Ear congestion,Facial ulceration,10
Ear congestion,Skin injury,16
Ear congestion,Hypertrophic Stenosis of the External Auditory Canal,63
Ear congestion,Hyperpigmentation,2
Ear congestion,No defecation,40
Ear congestion,Urinary Incontinence,10
Ear congestion,Entropion,29
Ear congestion,Weight Fluctuation,6
Ear congestion,Paralysis of the hind limbs,42
Ear congestion,Hair Removal for the Back of the Ear,1
Ear congestion,Skin itching,10
Ear congestion,Nasal Stenosis,8
Ear congestion,Skin Inflammation,35
Ear congestion,Polydipsia and Polyuria,4
Ear congestion,Weight loss,10
Ear congestion,Facial Edema,13
Ear congestion,Erosion,19
Ear congestion,Erythema,52
Ear congestion,Exposure of the red wound surface,14
Ear congestion,Hair Follicle Casts,8
Ear congestion,Hair Loss,24
Ear congestion,"Manifestation of inflammatory changes such as redness, swelling, heat, and pain.",11
Ear congestion,Mild skin fissures,7
Ear congestion,Miliary Dermatitis,20
Ear congestion,Non-Pruritic Alopecia,20
Ear congestion,Redness of the chin skin,17
Ear congestion,Scales,17
Ear congestion,Skin damage,17
Ear congestion,Sparse hair,26
Ear congestion,Squamous Patch,25
Ear congestion,The color of the fur on the dorsal side of the tail has darkened to a deep coffee brown.,6
Ear congestion,The tail hair has become very greasy.,13
Ear congestion,There are black spots the size of sesame seeds on the skin.,40
Ear congestion,There are black spots under the chin.,16
Ear congestion,Ulcerative Infection,27
Ear congestion,Itchy skin,31
Ear congestion,Ravenous appetite,2
Ear congestion,Rhinitis sicca,3
Ear congestion,Loose gums,39
Ear congestion,Hyperpigmentation of the skin,4
Ear congestion,Footpad Injury,1
Ear congestion,Scratching one's ear,26
Ear congestion,Hyperemia of visible mucous membranes,3
Ear congestion,Swelling,13
Ear congestion,"Lice, fleas, ticks, or mites are found on the body.",14
Ear congestion,Hypersomnia,6
Ear congestion,Earlobe Hair Removal,17
Ear congestion,Stenosis of the nasal aperture,13
Ear congestion,Epiphora,44
Ear congestion,Elevated body temperature,34
Ear congestion,Pica,15
Ear congestion,Pupillary White Discharge,2
Ear congestion,Neurological symptoms (such as seizures),9
Ear congestion,Visible mucosal icterus,8
Ear congestion,Exercise Intolerance,9
Ear congestion,Hematuria,29
Ear congestion,Lice found on the body,12
Ear congestion,Nodule,17
Ear congestion,Palpation elicits crepitus.,14
Ear congestion,Plaque,16
Ear congestion,Sparse hair at the joints,9
Ear congestion,There is a sense of fluctuation.,6
Ear congestion,Thickening and roughening of the skin,24
Ear congestion,Swelling and redness,10
Ear congestion,Hyperventilation,16
Ear congestion,Unable to lift one's head when looking down.,4
Ear congestion,Exophthalmos,7
Ear congestion,Inability to stand,3
Ear congestion,Light-colored bloody stool,21
Ear congestion,Purulent ocular discharge (purulent eye),8
Ear congestion,Jaundice,2
Ear congestion,Facial hemorrhagic secretion,1
Ear congestion,Skin laxity and lack of elasticity,9
Ear congestion,Ulcer,14
Ear congestion,Skeletal Deformation,2
Ear congestion,Unable to lift one's head when bowing down.,3
Ear congestion,Thoracic breathing,1
Ear congestion,Exposing a red wound surface,1
Ear congestion,The color of the fur on the dorsal side of the tail has darkened to a deep brown.,10
Ear congestion,The tail fur has become very greasy.,7
Ear congestion,Purulent Ear Discharge,3
Ear congestion,Tic,18
Ear congestion,Watery Diarrhea,1
Ear congestion,Limb Edema,3
Ear congestion,Weakness in the limbs,6
Ear congestion,Exudate,9
Ear congestion,Skin Redness,1
Ear congestion,Shortness of breath,26
Ear congestion,Erosion of the oral mucosa,6
Ear congestion,Facial Swelling,4
Ear congestion,Gingival Bleeding,3
Ear congestion,Gingivitis,7
Ear congestion,Hemorrhage or protrusion of a new growth from the oral cavity,5
Ear congestion,Mucosal Ulcer,6
Ear congestion,Nasal and facial swelling,3
Ear congestion,Nasal speculum dryness and cracking,3
Ear congestion,Oral Bloody Secretions,5
Ear congestion,Oral Pain,9
Ear congestion,Oral Ulcer on the Dorsum of the Tongue,4
Ear congestion,Painful swallowing,5
Ear congestion,Proptosis of the eyeball,1
Ear congestion,Purulent nasal discharge,6
Ear congestion,Serous Nasal Discharge,4
Ear congestion,Sialorrhea,4
Ear congestion,Sinusitis,3
Ear congestion,Streaming frothy nasal discharge,1
Ear congestion,Unpleasant Skin Odor,9
Ear congestion,Icterus of visible mucous membranes,4
Ear congestion,Responsive to rapidly approaching objects,2
Ear congestion,Mania,1
Ear congestion,Tick Head Remnants,2
Ear congestion,Visible Ticks,2
Ear congestion,Hair is dry and coarse.,17
Ear congestion,Tilt the head to one side.,2
Ear congestion,Mouth breathing,2
Ear congestion,Shallow and rapid breathing,2
Ear congestion,Insect Eggs,4
Ear congestion,Salivate,2
Ear congestion,Oliguria,3
Ear congestion,Hindlimb paralysis,2
Ear congestion,Hypertrophic External Auditory Canal Stenosis,1
Ear congestion,Mouth Breathing (Cat),3
Ear congestion,Oliguria or Anuria,3
Ear congestion,No Urination,7
Ear congestion,Quadriplegia,8
Ear congestion,Infected Ulceration,3
Ear congestion,Squamous Spots,2
Ear congestion,Increased urge to defecate without stool production,2
Ear congestion,Increased Urination,1
Ear congestion,Syncope,9
Ear congestion,Reflux,5
Ear congestion,Skin thickening,6
Ear congestion,Reaction to Rapidly Approaching Objects,1
Ear congestion,Superficial Lymph Node Enlargement,2
Ear congestion,Exposed red wound surface,1
Ear congestion,"Presenting with inflammatory changes such as redness, swelling, heat, and pain.",1
Ear congestion,The color of the hair on the dorsal side of the tail has darkened to a deep brown.,1
Ear congestion,"Manifestation of inflammatory changes such as redness, swelling, heat, and pain",4
Ear congestion,Pupillary constriction,6
Ear congestion,Skin Injury,11
Ear congestion,Perianal Pain,2
Ear congestion,Increased water intake,6
Ear congestion,Hair is dry and coarse,6
Ear congestion,Frequent urination,8
Ear congestion,Stiff Gait,2
Ear congestion,Intra-aural brown discharge,3
Ear congestion,Epidermal Elevation,2
Ear congestion,Patchy areas,1
Ear congestion,Redness and Swelling,1
Ear congestion,Small mass,2
Ear congestion,Loss of Appetite,2
Ear congestion,Frequent bowel movements,2
Ear congestion,Shake head,1
Ear congestion,Neurological symptoms (such as convulsions),2
Ear congestion,Motor Dyscoordination,5
Ear congestion,Shortness of Breath,2
Ear congestion,Rubbing buttocks,1
Ear congestion,Frottage (in the context of rubbing buttocks),1
Ear congestion,Increased Preputial Secretions,2
Ear congestion,Howl,1
Ear congestion,Hyperemia,1
Ear congestion,The head tilts to one side.,3
Ear congestion,Skin turns purple/blue,1
Ear congestion,Hesitation or occasional reluctance to ascend or descend stairs,2
Ear congestion,Interdigital Abscess,2
Ear congestion,Interdigital reddening,3
Ear congestion,Unpleasant Odor of the Skin,1
Ear congestion,Presence or absence of lameness,1
Ear congestion,"Presence or absence of limb weakness, including forelimb and hindlimb weakness",1
Ear congestion,Hypersalivation,3
Ear congestion,Exudes yellowish-white viscous pus,2
Ear congestion,Hair Removal and Diffuse Erythema,4
Ear congestion,Skin Ulcer Scar,4
Ear congestion,Stenosis of the nasal passages,1
Ear congestion,Scrotal erythema,2
Ear congestion,Respiratory Deficiency,2
Ear congestion,Hyperplastic Ear Canal Stenosis,1
Ear congestion,Eosinophilic Granuloma,2
Ear congestion,Eosinophilic plaque,2
Ear congestion,Erythematous papules,1
Ear congestion,Linear Granuloma,2
Ear congestion,Mucosal Ulceration,3
Ear congestion,Painless Ulcer,1
Ear congestion,Shock,3
Ear congestion,The head is held high and unwilling to bow down.,1
Ear congestion,Epidermal Necrosis,1
Ear congestion,Foamy nasal discharge,1
Ear congestion,Follicular Impetigo,1
Ear congestion,Foot Pad Injury,1
Ear congestion,Hair is prone to breakage.,2
Ear congestion,Hair thinning,1
Ear congestion,Interdigital redness,1
Ear congestion,Intermittent Diarrhea,1
Ear congestion,Marginal Desquamation,1
Ear congestion,Oral Ulcer on the Tongue Surface,2
Ear congestion,Painless ulcer,1
Ear congestion,Patchy,1
Ear congestion,Petechiae,4
Ear congestion,Red papules on the skin,1
Ear congestion,There is a fistula.,1
Ear congestion,Wound erosion,1
Ear congestion,On tiptoes,4
Ear congestion,Swelling under the eyes,2
Ear congestion,Purple tongue,1
Ear congestion,Visible mucosal congestion,1
Ear congestion,Undescended Testicle,3
Ear congestion,Incapacitated,2
Ear congestion,Stiffness and difficulty in movement after prolonged lying down or upon getting up,2
Ear congestion,The meat bun swells up.,1
Ear congestion,Frottage (in the context of anal stimulation),1
Ear congestion,Gastritis,1
Ear congestion,Exposure of red wound surface,1
Ear congestion,Non-voiding,1
Ear congestion,Exhibits a sense of fluctuation.,1
Ear congestion,Gingival bleeding,1
Ear congestion,Mucopurulent ocular discharge,2
Ear congestion,Nasal discharge resembling frothy fluid,2
Ear congestion,Epistaxis,1
Ear congestion,Facial Hemorrhagic Secretions,1
Ear congestion,Facial swelling,1
Ear congestion,Generalized or localized skeletal muscle weakness,1
Ear congestion,Howling,1
Ear congestion,Inspiratory dyspnea,1
Ear congestion,Lymph Node Swelling with Suppurative Ulceration,1
Ear congestion,Massive hemorrhagic diarrhea occurred.,1
Ear congestion,Miscarriage,1
Ear congestion,Mucinous stool,1
Ear congestion,Petechia,1
Ear congestion,Purulent discharge from the vagina,1
Ear congestion,Restlessness and Straining,1
Ear congestion,Salivation and fecal and urinary incontinence,1
Ear congestion,The feces are coated with mucus.,1
Ear congestion,The feces are hard and dry.,1
Ear congestion,Tilt the head to one side,2
Ear congestion,Tremor of the head,1
Ear congestion,Urine appears yellow to dark brown.,1
Ear congestion,Vaginal discharge,1
Ear congestion,Vomit can emit phosphorescence in the dark.,1
Ear congestion,Watery stool,1
Ear congestion,"For the majority of the time, maintain a seated or prone position.",1
Ear congestion,Undescended Testes,1
Head-shaking,Oily Ear Discharge,111
Head-shaking,Purulent ear discharge,352
Head-shaking,Purulent intracanalicular discharge,228
Head-shaking,Scratching the ears,235
Head-shaking,Sneezing,24
Head-shaking,Itching,74
Head-shaking,Shaking Head and Scratching Ears,27
Head-shaking,Hyperplastic ear canal stenosis,50
Head-shaking,Oily ear discharge,200
Head-shaking,Scratching one's ears,172
Head-shaking,Tilted head,8
Head-shaking,Hyperplastic External Auditory Canal Stenosis,85
Head-shaking,Unpleasant Odor in the Ear,106
Head-shaking,Increased ocular discharge,15
Head-shaking,Hyporexia,16
Head-shaking,Mental depression,25
Head-shaking,Loose gums,5
Head-shaking,Salivation,13
Head-shaking,Scratching the eyes,5
Head-shaking,Skin redness and swelling,43
Head-shaking,Hyperemia of visible mucosa,4
Head-shaking,Papule,18
